ID1,EstimationDate,id,EstimationRunStepId,NetworkNodeId,name
251,2021-02-27 14:00:00.000,6920142,8930,8845,104924417/2
252,2021-02-27 14:00:00.000,6920005,8930,7530,105096378/1
253,2021-02-27 14:00:00.000,6920314,8930,6482,105096378/2
254,2021-02-27 14:00:00.000,6920334,8930,8111,105117400/1
255,2021-02-27 14:00:00.000,6919988,8930,8329,105117401/1
256,2021-02-27 14:00:00.000,6920125,8930,6757,105117401/2
257,2021-02-27 14:00:00.000,6920379,8930,6446,105117403/1
258,2021-02-27 14:00:00.000,6920362,8930,9046,105117403/2
259,2021-02-27 14:00:00.000,6920096,8930,7473,105117404/1
260,2021-02-27 14:00:00.000,6920100,8930,7543,105117404/2
261,2021-02-27 14:00:00.000,6920267,8930,7751,105117406/1
262,2021-02-27 14:00:00.000,6920090,8930,6653,105117406/2
263,2021-02-27 14:00:00.000,6920259,8930,6654,105184278/1
264,2021-02-27 14:00:00.000,6920264,8930,6961,105184278/2
265,2021-02-27 14:00:00.000,6920118,8930,6632,105184316/1
266,2021-02-27 14:00:00.000,6920130,8930,6250,105184316/2
267,2021-02-27 14:00:00.000,6920360,8930,7800,105184327/1
268,2021-02-27 14:00:00.000,6920160,8930,8550,105184327/2
269,2021-02-27 14:00:00.000,6920102,8930,6577,105184427/1
270,2021-02-27 14:00:00.000,6920216,8930,8482,105184427/2
271,2021-02-27 14:00:00.000,6919994,8930,6428,105602581/1
272,2021-02-27 14:00:00.000,6920037,8930,8471,105602582/1
273,2021-02-27 14:00:00.000,6920258,8930,8463,105602582/2
274,2021-02-27 14:00:00.000,6920260,8930,6806,105602583/1
275,2021-02-27 14:00:00.000,6920062,8930,7842,105602584/1
276,2021-02-27 14:00:00.000,6920060,8930,8089,105602584/2
277,2021-02-27 14:00:00.000,6920365,8930,6845,105604930/1
278,2021-02-27 14:00:00.000,6920284,8930,7017,105605181/1
279,2021-02-27 14:00:00.000,6920156,8930,8663,105683566/1
280,2021-02-27 14:00:00.000,6920183,8930,8949,105683568/1
281,2021-02-27 14:00:00.000,6920104,8930,7450,105683568/2
282,2021-02-27 14:00:00.000,6920024,8930,6802,105789687/1
283,2021-02-27 14:00:00.000,6920385,8930,6384,105789687/2
284,2021-02-27 14:00:00.000,6920177,8930,7352,105789689/1
285,2021-02-27 14:00:00.000,6920309,8930,6481,105789691/1
286,2021-02-27 14:00:00.000,6920345,8930,6239,105789691/2
287,2021-02-27 14:00:00.000,6920089,8930,7433,105789695/1
288,2021-02-27 14:00:00.000,6920311,8930,7603,105789695/2
289,2021-02-27 14:00:00.000,6920150,8930,8568,105789696/1
290,2021-02-27 14:00:00.000,6920157,8930,7388,105789696/2
291,2021-02-27 14:00:00.000,6920396,8930,7050,105789697/1
292,2021-02-27 14:00:00.000,6920083,8930,7900,105809167/1
293,2021-02-27 14:00:00.000,6920376,8930,6293,105809167/2
294,2021-02-27 14:00:00.000,6919991,8930,6906,105809168/1
295,2021-02-27 14:00:00.000,6920050,8930,6894,105839395/1
296,2021-02-27 14:00:00.000,6920338,8930,7127,105839395/2
297,2021-02-27 14:00:00.000,6920170,8930,7478,105845370/1
298,2021-02-27 14:00:00.000,6920227,8930,8136,105845370/2
299,2021-02-27 14:00:00.000,6920167,8930,7676,105899095/1
300,2021-02-27 14:00:00.000,6920049,8930,6286,105899095/2
301,2021-02-27 14:00:00.000,6920368,8930,8274,106005750/1
302,2021-02-27 14:00:00.000,6920137,8930,8502,106005750/2
303,2021-02-27 14:00:00.000,6920210,8930,8293,106005751/1
304,2021-02-27 14:00:00.000,6920224,8930,6725,106005751/2
305,2021-02-27 14:00:00.000,6920147,8930,6592,106005752/1
306,2021-02-27 14:00:00.000,6920076,8930,6631,106005752/2
307,2021-02-27 14:00:00.000,6920399,8930,6695,106005754/1
308,2021-02-27 14:00:00.000,6920115,8930,6463,106005754/2
309,2021-02-27 14:00:00.000,6920155,8930,6235,106005755/1
310,2021-02-27 14:00:00.000,6920290,8930,8387,106007466/1
311,2021-02-27 14:00:00.000,6920161,8930,6355,106007466/2
312,2021-02-27 14:00:00.000,6920288,8930,6748,106007467/1
313,2021-02-27 14:00:00.000,6920117,8930,7486,106007467/2
314,2021-02-27 14:00:00.000,6920032,8930,8246,106007468/1
315,2021-02-27 14:00:00.000,6920221,8930,8700,106007468/2
316,2021-02-27 14:00:00.000,6920007,8930,7076,106007469/1
317,2021-02-27 14:00:00.000,6920046,8930,8212,106007469/2
318,2021-02-27 14:00:00.000,6920030,8930,6418,106007599/1
319,2021-02-27 14:00:00.000,6920285,8930,7507,106007599/2
320,2021-02-27 14:00:00.000,6920253,8930,7853,106007600/1
321,2021-02-27 14:00:00.000,6920189,8930,8065,106007600/2
322,2021-02-27 14:00:00.000,6920321,8930,8935,106007601/1
323,2021-02-27 14:00:00.000,6920017,8930,8066,106007601/2
324,2021-02-27 14:00:00.000,6920366,8930,7208,106047275/1
325,2021-02-27 14:00:00.000,6920199,8930,8797,106047275/2
326,2021-02-27 14:00:00.000,6920192,8930,6973,106063693/1
327,2021-02-27 14:00:00.000,6920294,8930,6578,106063693/2
328,2021-02-27 14:00:00.000,6920387,8930,7442,106063694/1
329,2021-02-27 14:00:00.000,6920172,8930,8977,106063694/2
330,2021-02-27 14:00:00.000,6920370,8930,8161,106425923/1
331,2021-02-27 14:00:00.000,6920320,8930,7922,106425923/2
332,2021-02-27 14:00:00.000,6920002,8930,6743,106425924/1
333,2021-02-27 14:00:00.000,6920211,8930,7270,106425925/1
334,2021-02-27 14:00:00.000,6920244,8930,8412,106425925/2
335,2021-02-27 14:00:00.000,6920343,8930,8503,106425926/1
336,2021-02-27 14:00:00.000,6920169,8930,6884,106425926/2
337,2021-02-27 14:00:00.000,6920218,8930,8630,106425927/1
338,2021-02-27 14:00:00.000,6920181,8930,8016,106425927/2
339,2021-02-27 14:00:00.000,6920272,8930,8671,106425931/1
340,2021-02-27 14:00:00.000,6920106,8930,7701,106425931/2
341,2021-02-27 14:00:00.000,6920391,8930,6448,106628581/1
342,2021-02-27 14:00:00.000,6920128,8930,6472,106628581/2
343,2021-02-27 14:00:00.000,6919992,8930,6957,106628582/1
344,2021-02-27 14:00:00.000,6919985,8930,8789,106628582/2
345,2021-02-27 14:00:00.000,6920143,8930,7342,106663151/1
346,2021-02-27 14:00:00.000,6920206,8930,7944,106663151/2
347,2021-02-27 14:00:00.000,6920113,8930,6437,106709259/1
348,2021-02-27 14:00:00.000,6920237,8930,7782,106709260/1
349,2021-02-27 14:00:00.000,6920025,8930,8563,106709260/2
350,2021-02-27 14:00:00.000,6920220,8930,7835,106709261/1
351,2021-02-27 14:00:00.000,6920042,8930,7400,106709261/2
352,2021-02-27 14:00:00.000,6920084,8930,7191,106709262/1
353,2021-02-27 14:00:00.000,6920374,8930,7675,106709263/1
354,2021-02-27 14:00:00.000,6920250,8930,7285,106709263/2
355,2021-02-27 14:00:00.000,6920066,8930,7231,106709264/1
356,2021-02-27 14:00:00.000,6920116,8930,8192,106709264/2
357,2021-02-27 14:00:00.000,6920261,8930,9069,106710526/1
358,2021-02-27 14:00:00.000,6920247,8930,6647,106710527/1
359,2021-02-27 14:00:00.000,6920163,8930,7879,106710527/2
360,2021-02-27 14:00:00.000,6920395,8930,6662,106710530/1
361,2021-02-27 14:00:00.000,6920319,8930,8447,106710530/2
362,2021-02-27 14:00:00.000,6920077,8930,8422,106710531/1
363,2021-02-27 14:00:00.000,6920056,8930,8899,106710531/2
364,2021-02-27 14:00:00.000,6920195,8930,6732,106710532/1
365,2021-02-27 14:00:00.000,6920095,8930,7815,106710532/2
366,2021-02-27 14:00:00.000,6920124,8930,8901,106710541/1
367,2021-02-27 14:00:00.000,6920193,8930,8235,106710541/2
368,2021-02-27 14:00:00.000,6920304,8930,6721,106710543/1
369,2021-02-27 14:00:00.000,6920252,8930,7646,106710543/2
370,2021-02-27 14:00:00.000,6919984,8930,8578,106710546/1
